,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Session
0,0,200,50,200,15,128,362
1,150,200,50,200,15,128,362
2,220,200,50,200,15,128,362
0,150,200,50,200,15,128,363
1,210,200,50,200,15,128,363
0,0,200,50,200,15,128,364
1,1,1,0,0,15,128,364
2,150,200,50,200,15,128,364
0,0,200,50,200,80,128,365
1,0,200,50,200,112,128,365
2,200,200,50,200,80,128,365
0,1,1,0,0,15,128,366
1,200,200,10,200,15,128,366
2,200,200,10,500,15,128,366
3,200,200,50,200,15,128,366
4,250,200,50,200,15,128,366
0,0,200,50,200,15,128,367
0,0,200,50,200,15,128,368
1,1,1,0,0,15,128,368
2,110,200,50,200,15,128,368
3,140,200,50,200,15,128,368
4,200,200,50,200,15,128,368
0,0,200,50,200,15,64,369
1,0,200,50,200,15,240,369
2,1,200,50,200,15,64,369
3,110,200,50,200,15,64,369
4,190,200,50,200,15,64,369
0,300,200,50,500,15,128,370
1,420,200,50,500,15,128,370
0,0,200,50,200,15,64,371
1,110,200,50,200,15,64,371
2,150,200,50,200,15,64,371
3,180,200,50,200,15,64,371
4,200,200,50,200,15,64,371
5,250,200,50,200,15,64,371
0,0,200,50,200,15,16,372
1,200,200,50,200,15,16,372
2,250,200,50,200,15,16,372
0,150,200,50,200,15,128,373
1,200,200,50,200,15,128,373
0,0,200,50,200,15,128,374
0,0,200,50,200,15,128,375
1,1,1,0,0,15,128,375
2,100,200,50,200,15,128,375
3,110,200,50,200,15,128,375
0,0,200,50,200,15,128,376
1,150,200,50,200,15,128,376
0,0,200,50,200,15,128,377
1,150,200,50,200,15,128,377
2,200,200,50,200,15,128,377
0,0,200,50,200,15,128,378
1,0,200,50,200,112,128,378
2,0,200,50,200,119,128,378
3,400,200,50,200,112,128,378
0,300,200,50,200,15,128,379
