,Monkey,Date,Filename
0,U,20160926,U20160926.txt
1,U,20160927,U20160927.txt
2,U,20160928,U20160928.txt
3,U,20160929,U20160929.txt
4,U,20161003,U20161003.txt
5,U,20161005,U20161005.txt
6,U,20161006,U20161006.txt
7,U,20161007,U20161007.txt
8,U,20161010,U20161010.txt
9,U,20161011,U20161011.txt
10,U,20161012,U20161012.txt
11,U,20161013,U20161013.txt
12,U,20161014,U20161014.txt
13,U,20161017,U20161017.txt
14,U,20161018,U20161018.txt
15,U,20161019,U20161019.txt
16,U,20161020,U20161020.txt
17,U,20161021,U20161021.txt
18,U,20161025,U20161025.txt
19,U,20161026,U20161026.txt
20,U,20161027,U20161027.txt
21,U,20161028,U20161028.txt
22,U,20161031,U20161031.txt
23,U,20161101,U20161101.txt
24,U,20161102,U20161102.txt
25,U,20161103,U20161103.txt
26,U,20161104,U20161104.txt
27,U,20161109,U20161109.txt
28,U,20161110,U20161110.txt
29,U,20161111,U20161111.txt
30,U,20161114,U20161114.txt
31,U,20161115,U20161115.txt
32,U,20161116,U20161116.txt
33,U,20161117,U20161117.txt
34,U,20161118,U20161118.txt
35,U,20161121,U20161121.txt
36,U,20161122,U20161122.txt
37,U,20161128,U20161128.txt
38,U,20161129,U20161129.txt
39,U,20161130,U20161130.txt
40,U,20161201,U20161201.txt
41,U,20161202,U20161202.txt
42,U,20161207,U20161207.txt
43,U,20161208,U20161208.txt
44,U,20161209,U20161209.txt
45,U,20161212,U20161212.txt
46,U,20161213,U20161213.txt
47,U,20161214,U20161214.txt
48,U,20161215,U20161215.txt
49,U,20161216,U20161216.txt
50,U,20161219,U20161219.txt
51,U,20161220,U20161220.txt
52,U,20161221,U20161221.txt
53,U,20161222,U20161222.txt
54,U,20161223,U20161223.txt
55,U,20161226,U20161226.txt
56,U,20161227,U20161227.txt
57,U,20161228,U20161228.txt
58,U,20161229,U20161229.txt
59,U,20161230,U20161230.txt
60,U,20170102,U20170102.txt
61,U,20170103,U20170103.txt
62,U,20170104,U20170104.txt
63,U,20170105,U20170105.txt
64,U,20170110,U20170110.txt
65,U,20170111,U20170111.txt
66,U,20170112,U20170112.txt
67,U,20170116,U20170116.txt
68,U,20170117,U20170117.txt
69,U,20170118,U20170118.txt
70,U,20170119,U20170119.txt
71,U,20170120,U20170120.txt
72,U,20170206,U20170206.txt
73,U,20170207,U20170207.txt
74,U,20170208,U20170208.txt
75,U,20170209,U20170209.txt
76,U,20170211,U20170211.txt
77,U,20170212,U20170212.txt
78,U,20170214,U20170214.txt
79,U,20170215,U20170215.txt
80,U,20170216,U20170216.txt
81,U,20170217,U20170217.txt
82,U,20170220,U20170220.txt
83,U,20170221,U20170221.txt
84,U,20170222,U20170222.txt
85,U,20170223,U20170223.txt
86,U,20170224,U20170224.txt
87,U,20170227,U20170227.txt
88,U,20170228,U20170228.txt
89,U,20170301,U20170301.txt
90,U,20170302,U20170302.txt
91,U,20170306,U20170306.txt
92,U,20170307,U20170307.txt
93,U,20170308,U20170308.txt
94,U,20170309,U20170309.txt
95,U,20170313,U20170313.txt
96,U,20170314,U20170314.txt
97,U,20170315,U20170315.txt
98,U,20170316,U20170316.txt
99,U,20170317,U20170317.txt
100,U,20170320,U20170320.txt
101,U,20170321,U20170321.txt
102,U,20170322,U20170322.txt
103,U,20170323,U20170323.txt
104,U,20170324,U20170324.txt
105,U,20170327,U20170327.txt
106,U,20170328,U20170328.txt
107,U,20170329,U20170329.txt
108,U,20170406,U20170406.txt
109,U,20170407,U20170407.txt
110,U,20170410,U20170410.txt
111,U,20170411,U20170411.txt
112,U,20170413,U20170413.txt
113,U,20170414,U20170414.txt
114,U,20170419,U20170419.txt
115,U,20170426,U20170426.txt
116,U,20170427,U20170427.txt
117,U,20170428,U20170428.txt
118,U,20170502,U20170502.txt
119,U,20170503,U20170503.txt
120,U,20170509,U20170509.txt
121,U,20170510,U20170510.txt
122,U,20170511,U20170511.txt
123,U,20170515,U20170515.txt
124,U,20170516,U20170516.txt
125,U,20170517,U20170517.txt
126,U,20170518,U20170518.txt
127,U,20170519,U20170519.txt
128,U,20170522,U20170522.txt
129,U,20170523,U20170523.txt
130,U,20170525,U20170525.txt
131,U,20170526,U20170526.txt
132,U,20170530,U20170530.txt
133,U,20170531,U20170531.txt
