Monkey,Date,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Comp Amp,Comp PW,Misses,Hits,FAs,CRs
U,20161012,0,0,0,0,15,128,60,200,0,0,1,2
U,20161012,0,0,0,0,15,128,700,200,1,1,0,1
U,20161012,0,0,0,0,15,128,900,200,0,1,0,0
U,20161012,0,0,0,0,15,128,1500,200,0,2,0,1
U,20161012,0,0,0,0,15,192,700,200,0,0,1,0
U,20161013,0,0,0,0,3,48,60,200,0,1,0,0
U,20161013,0,0,0,0,3,48,300,200,36,2,3,37
U,20161013,0,0,0,0,3,48,500,200,35,3,0,30
U,20161013,0,0,0,0,3,48,700,200,3,36,1,43
U,20161013,0,0,0,0,3,48,900,200,1,38,3,37
U,20161013,0,0,0,0,3,48,1100,200,0,40,2,47
U,20161013,0,0,0,0,3,48,1300,200,0,37,4,37
U,20161013,0,0,0,0,3,48,1500,200,0,37,0,33
U,20161013,0,0,0,0,3,48,1700,200,0,39,2,31
U,20161014,0,0,0,0,9,144,300,200,33,1,1,22
U,20161014,0,0,0,0,9,144,500,200,35,0,2,41
U,20161014,0,0,0,0,9,144,700,200,15,19,3,44
U,20161014,0,0,0,0,9,144,900,200,3,32,0,39
U,20161014,0,0,0,0,9,144,1100,200,0,34,2,24
U,20161014,0,0,0,0,9,144,1300,200,0,34,1,31
U,20161014,0,0,0,0,9,144,1500,200,0,34,1,29
U,20161014,0,0,0,0,9,144,1700,200,0,34,2,31
U,20161014,0,0,0,0,15,128,60,200,0,0,1,2
U,20161014,0,0,0,0,15,128,1100,200,0,1,0,0
U,20161014,0,0,0,0,15,128,1500,200,0,1,0,0
U,20161017,0,0,0,0,6,96,60,200,0,0,0,1
U,20161017,0,0,0,0,6,96,300,200,28,1,0,29
U,20161017,0,0,0,0,6,96,500,200,28,2,0,33
U,20161017,0,0,0,0,6,96,700,200,4,25,1,27
U,20161017,0,0,0,0,6,96,900,200,1,27,2,24
U,20161017,0,0,0,0,6,96,1100,200,0,29,1,35
U,20161017,0,0,0,0,6,96,1300,200,0,29,1,31
U,20161017,0,0,0,0,6,96,1500,200,1,28,1,27
U,20161017,0,0,0,0,6,96,1700,200,0,30,0,26
U,20161018,0,0,0,0,9,144,300,200,37,1,1,30
U,20161018,0,0,0,0,9,144,500,200,32,4,3,34
U,20161018,0,0,0,0,9,144,700,200,3,34,3,30
U,20161018,0,0,0,0,9,144,900,200,0,36,4,34
U,20161018,0,0,0,0,9,144,1100,200,0,37,2,43
U,20161018,0,0,0,0,9,144,1300,200,0,37,1,41
